health_insurance_name
AOK Niedersachsen
AOK Hessen
AOK Baden-Württemberg
AOK Bayern
AOK Bremen / Bremerhaven
AOK Nordost
AOK NordWest
AOK PLUS
AOK Rheinland/Hamburg
AOK Rheinland-Pfalz/Saarland
AOK Sachsen-Anhalt
Audi BKK
BAHN-BKK
BARMER
BERGISCHE KRANKENKASSE
Bertelsmann BKK
Betriebskrankenkasse Mobil
BIG direkt gesund
BKK Akzo Nobel Bayern
BKK Diakonie
BKK EUREGIO
BKK exklusiv
BKK Faber-Castell & Partner
BKK firmus
BKK Freudenberg
BKK GILDEMEISTER SEIDENSTICKER
BKK Herkules
BKK Linde
bkk melitta hmr
BKK PFAFF
BKK Pfalz
BKK ProVita
BKK Public
BKK Scheufelen
BKK Schwarzwald-Baar-Heuberg
BKK Technoform
BKK Textilgruppe Hof
BKK VDN
BKK VerbundPlus
BKK Verkehrsbau Union (BKK VBU)
BKK Werra-Meissner
BKK Wirtschaft & Finanzen
BKK ZF & Partner
BKK_DürkoppAdler
BKK24
Bosch BKK
Continentale Betriebskrankenkasse
DAK-Gesundheit
Debeka BKK
energie-Betriebskrankenkasse
Handelskrankenkasse (hkk)
Heimat Krankenkasse
HEK - Hanseatische Krankenkasse
IKK - Die Innovationskasse
IKK Brandenburg und Berlin
IKK classic
IKK gesund plus
IKK Südwest
Kaufmännische Krankenkasse - KKH
KNAPPSCHAFT
mhplus Betriebskrankenkasse
Novitas BKK
pronova BKK
R+V Betriebskrankenkasse
Salus BKK
SECURVITA BKK
Siemens-Betriebskrankenkasse (SBK)
SKD BKK
"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau (SVLFG)"
Techniker Krankenkasse
TUI BKK
VIACTIV Krankenkasse
vivida bkk
WMF Betriebskrankenkasse
